image_name,person_id,age_range,age_confidence,estimated_age,gender,gender_confidence
1.jpg,1,(8-12),0.5692,10.0,Male,0.9994
1.jpg,2,(8-12),0.6969,10.0,Female,0.8504
1.jpg,3,(4-6),0.8087,5.0,Female,0.9277
1.jpg,4,(4-6),0.5809,5.0,Male,0.5251
1.jpg,5,(15-20),0.9448,17.5,Male,0.9997
1.jpg,6,(15-20),0.7821,17.5,Male,0.7571
1.jpg,7,(8-12),0.9734,10.0,Female,0.9674
2.jpg,1,(25-32),0.7814,28.5,Male,0.8296
2.jpg,2,(25-32),0.6032,28.5,Male,0.7433
2.jpg,3,(8-12),0.8586,10.0,Male,0.9546
2.jpg,4,(8-12),0.5565,10.0,Male,0.9757
2.jpg,5,(38-43),0.8729,40.5,Male,0.5147
3.jpg,1,(4-6),0.7245,5.0,Female,0.9864
3.jpg,2,(4-6),0.5357,5.0,Female,0.9992
3.jpg,3,(8-12),0.8966,10.0,Female,0.5108
3.jpg,4,(8-12),0.9408,10.0,Female,0.8066
3.jpg,5,(4-6),0.7441,5.0,Female,0.9917
3.jpg,6,(4-6),0.9746,5.0,Female,0.9834
3.jpg,7,(48-53),0.3324,50.5,Female,0.8885
4.jpg,1,(4-6),0.7945,5.0,Female,0.538
4.jpg,2,(8-12),0.6717,10.0,Male,0.9901
4.jpg,3,(8-12),0.9985,10.0,Male,0.9978
4.jpg,4,(4-6),0.9962,5.0,Male,0.867
4.jpg,5,(4-6),0.9883,5.0,Male,0.8746
4.jpg,6,(4-6),0.7783,5.0,Male,0.9963
4.jpg,7,(4-6),0.9848,5.0,Female,0.6502
5.jpg,1,(8-12),0.4915,10.0,Male,1.0
5.jpg,2,(25-32),0.9231,28.5,Female,0.5121
5.jpg,3,(25-32),0.868,28.5,Female,0.8725
5.jpg,4,(0-2),0.7299,1.0,Female,0.9881
5.jpg,5,(25-32),0.6872,28.5,Female,0.9998
5.jpg,6,(8-12),0.4421,10.0,Male,0.999
6.jpg,1,(25-32),0.9865,28.5,Female,0.6136
6.jpg,2,(25-32),0.9932,28.5,Male,0.9975
6.jpg,3,(0-2),0.9648,1.0,Male,0.9968
6.jpg,4,(38-43),0.6466,40.5,Male,1.0
6.jpg,5,(8-12),0.5032,10.0,Female,0.9822
6.jpg,6,(25-32),0.551,28.5,Male,0.9999
6.jpg,7,(8-12),0.5488,10.0,Female,0.8675
6.jpg,8,(25-32),0.6254,28.5,Male,0.6517
6.jpg,9,(25-32),0.9753,28.5,Female,0.8025
6.jpg,10,(48-53),0.6611,50.5,Female,0.9992
6.jpg,11,(25-32),0.9897,28.5,Female,0.5028
6.jpg,12,(25-32),0.7724,28.5,Female,0.9974
6.jpg,13,(25-32),0.9989,28.5,Female,0.9987
7.jpg,1,(25-32),0.8895,28.5,Female,0.6571
7.jpg,2,(25-32),0.6101,28.5,Female,0.9031
7.jpg,3,(25-32),0.999,28.5,Female,0.9857
7.jpg,4,(15-20),0.8036,17.5,Female,0.9887
7.jpg,5,(25-32),0.8015,28.5,Female,0.9795
7.jpg,6,(25-32),0.8958,28.5,Female,0.9985
7.jpg,7,(25-32),0.4435,28.5,Female,0.9932
7.jpg,8,(8-12),0.4806,10.0,Male,0.6936
8.jpg,1,(0-2),0.8782,1.0,Male,0.9306
8.jpg,2,(0-2),0.6166,1.0,Male,0.9905
8.jpg,3,(25-32),0.4242,28.5,Male,0.7615
8.jpg,4,(38-43),0.6957,40.5,Male,0.9999
8.jpg,5,(25-32),0.3756,28.5,Male,0.9997
9.jpg,1,(25-32),0.9885,28.5,Male,1.0
9.jpg,2,(25-32),0.928,28.5,Male,1.0
9.jpg,3,(25-32),0.9999,28.5,Male,0.9997
9.jpg,4,(25-32),0.9915,28.5,Female,1.0
9.jpg,5,(8-12),0.6872,10.0,Female,0.9986
9.jpg,6,(48-53),0.5774,50.5,Male,0.8561
10.jpg,1,(25-32),0.9538,28.5,Female,0.9876
10.jpg,2,(25-32),0.5296,28.5,Male,0.778
10.jpg,3,(25-32),0.9972,28.5,Male,1.0
10.jpg,4,(25-32),0.9878,28.5,Male,0.5141
11.jpg,1,(8-12),0.7976,10.0,Male,0.9999
11.jpg,2,(25-32),0.9927,28.5,Female,0.942
11.jpg,3,(25-32),0.9979,28.5,Female,0.9931
11.jpg,4,(25-32),0.9119,28.5,Male,0.9999
12.jpg,1,(8-12),0.7973,10.0,Male,1.0
12.jpg,2,(15-20),0.72,17.5,Male,0.9995
12.jpg,3,(15-20),0.958,17.5,Male,1.0
12.jpg,4,(8-12),0.999,10.0,Male,0.9985
12.jpg,5,(4-6),0.5669,5.0,Male,0.5435
12.jpg,6,(25-32),0.8679,28.5,Male,0.9804
12.jpg,7,(25-32),0.7518,28.5,Male,0.9993
